Pharaonic Pantheon							DOMAINS:Air,Artifice,Chaos,Community,Creation,Destruction,Earth,Glory,Good,Healing,Knowledge,Law,Luck,Magic,Nobility,Plant,Protection,Repose,Rune,Strength,Sun,Travel,Trickery,War,Water|PREALIGN:LG,LN,NG,TN,CG,CN	DESC:Pharaonic Pantheon															DEITYWEAP:Flail|Pick (Heavy)|Khopesh|Longsword|Mace (Light)|Mace (Heavy)|Quarterstaff|Sword (Short)|Shortspear|Halfspear|Longspear|Bracers (Claw/Tiger)	ALIGN:TN	FACTSET:Pantheon|Pharaonic|None		SOURCEPAGE:DD										TYPE:None
Three Aberrant Deities							DOMAINS:Air,Animal,Chaos,Darkness,Destruction,Evil,Fire,Scalykind,Strength,Water																							DESC:Three Aberrant Deities														DEITYWEAP:Pick (Heavy)|Longspear|Halfspear|Shortspear																		ALIGN:NE	FACTSET:Pantheon|Pharaonic|None		SOURCEPAGE:DD										TYPE:None
Osirian Triad Deities							DOMAINS:Air,Earth,Glory,Good,Law,Magic,Nobility,Plant,Protection,Repose,Sun,War,Water|PREALIGN:LG,NG,CG																			DESC:Osirian Triad Deities														DEITYWEAP:Khopesh|Flail|Quarterstaff																					ALIGN:NG	FACTSET:Pantheon|Pharaonic|None		SOURCEPAGE:DD										TYPE:None
Re-Horakhty									DOMAINS:Glory,Good,Law,Nobility,Sun,War|PREALIGN:LG,LN,NG																											DESC:Re-Horakhty (M)		FACT:Symbol|Solar disk encircled by a serpent							DEITYWEAP:Khopesh																								ALIGN:LG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Greater
Amun-Ra									DOMAINS:Glory,Good,Law,Nobility,Sun,War|PREALIGN:LG,LN,NG																											DESC:Re-Horakhty (M)		FACT:Symbol|Solar disk encircled by a serpent							DEITYWEAP:Khopesh																								ALIGN:LG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Greater
Anubis									DOMAINS:Law,Magic,Repose|PREALIGN:LG,LN,LE,TN																													DESC:Anubis (M)			FACT:Symbol|Black Jackal										DEITYWEAP:Mace (Light)|Mace (Heavy)																					ALIGN:LN	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Lesser
Apep										DOMAINS:Evil,Fire,Scalykind|PREALIGN:LE,TN,NE,CE																												DESC:Apep (M)			FACT:Symbol|Flaming snake										DEITYWEAP:Pick (Heavy)																							ALIGN:NE	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Demigod
Bast										DOMAINS:Chaos,Destruction,Protection,Strength,War|PREMULT:1,[PREALIGN:NG,CG,CN],[PRERACE:1,RACESUBTYPE=Elf],[PRERACE:1,RACESUBTYPE=Orc],[PRERACE:1,RACESUBTYPE=Halfling]								DESC:Bast (F)			FACT:Symbol|Cat												DEITYWEAP:Bracers (Claw/Tiger)																					ALIGN:CG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Lesser
Bes										DOMAINS:Luck,Protection,Trickery|PREMULT:1,[PREALIGN:CG,CN,TN,CE],[PRERACE:1,RACESUBTYPE=Gnome],[PRERACE:1,RACESUBTYPE=Halfling]															DESC:Bes (M)			FACT:Symbol|Image of the deity									DEITYWEAP:Sword (Short)																							ALIGN:CN	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Lesser
Hator										DOMAINS:Community,Good,Luck|PREMULT:1,[PREALIGN:LG,NG,TN,CG],[PRERACE:1,RACESUBTYPE=Gnome],[PRERACE:1,RACESUBTYPE=Halfling]																DESC:Hator (F)			FACT:Symbol|Horned cow's head with a lunar disk						DEITYWEAP:Longsword																							ALIGN:NG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Lesser
Imhotep									DOMAINS:Artifice,Healing,Knowledge|PREALIGN:LG,NG,TN,CG																											DESC:Imhotep (M)			FACT:Symbol|A step pyramid										DEITYWEAP:Quarterstaff																							ALIGN:NG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Demigod
Isis										DOMAINS:Good,Magic,Protection,Water|PREALIGN:LG,NG,TN,CG																											DESC:Isis (F)			FACT:Symbol|Ankh and star										DEITYWEAP:Quarterstaff																							ALIGN:NG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Greater
Nephthys									DOMAINS:Chaos,Good,Protection,Repose|PREMULT:1,[PREALIGN:NG,CG,CN],[PRERACE:1,RACESUBTYPE=Elf]																					DESC:Nephthys (F)			FACT:Symbol|Horns around a lunar disk								DEITYWEAP:Mace (Light)|Mace (Heavy)																					ALIGN:CG	FACTSET:Pantheon|Pharaonic		SOURCEPAGE:DD										TYPE:Intermediate
